,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2020-11,2463313.6069999975,206002.588,4639700.503,354868.7010000001,,196414.76899999997,28563.691,121615.077,3698514.59,821.801,4210154.2799999975,813707.438,108048.269,394574.4640000004,2392802.0749999997,194075.04849999995,80888.76249999997,19904065.663999997,2020,11
2020-12,3192283.8939999985,320955.577,5270532.21,300065.01100000006,,202181.045,27628.667,109732.229,3038617.595,958.502,7440365.855000005,742998.879,76225.913,422895.4330000005,2356443.098000001,189850.06150000013,75588.70650000001,23767322.67600001,2020,12
2021-01,4057346.783000003,320531.389,5199740.516,557975.9790000002,,203759.9729999999,28766.271,116282.053,2729183.017,993.17,7101249.122999999,848403.074,102634.029,390590.3959999999,2405236.8060000027,182932.08900000012,59850.28199999993,24305474.950000007,2021,1
2021-02,4517602.492000001,401293.219,4358515.107,176266.719,,160418.0849999999,18026.13,104960.847,1544065.785,1226.483,6294982.85600001,973686.902,138181.327,365191.8890000005,1838165.7300000011,172740.34500000015,69065.86799999996,21134389.78400001,2021,2
2021-03,3715416.012000001,330794.555,4833065.002,242138.94600000008,,173283.97599999994,27904.377,100758.259,2151091.661,1921.443,5606818.804999998,1688757.265,355015.427,359459.0709999995,2253823.6159999976,184342.43600000005,72598.53499999999,22097189.385999996,2021,3
2021-04,2745019.021999995,153679.68,4197332.93,270100.02600000025,,187547.7889999998,24553.477,70652.976,3384471.579,835.908,4095800.569000003,1665571.492,266787.519,392274.79499999934,2193285.205,178093.968,74357.49400000006,19900364.42899999,2021,4
2021-05,2159483.244999999,238708.927,4373250.552,331931.1130000002,,178362.30000000016,24916.217,62416.77,2444871.606,3227.077,4785695.033000001,2388831.852,645597.457,390931.927,2206328.8619999993,177333.07100000005,59595.066,20471481.075,2021,5
2021-06,2182252.5450000013,105706.304,3684377.943,473579.2319999993,,206220.59199999983,34119.217,33486.942,3658878.948,3002.042,3684170.6189999976,2325571.729,655361.716,358010.0459999999,2181276.7939999993,198273.45250000004,79503.8495,19863791.970999997,2021,6
2021-07,2209464.624000001,115895.307,5119328.941,311102.33,-0.001,239576.81599999996,40565.981,66134.21,3718134.418,3578.218,4284090.513000002,2617534.056,828492.494,352713.786,2243226.3560000015,205014.80949999983,81915.74950000002,22436768.608000003,2021,7
2021-08,1883260.8029999996,159688.964,5151337.803,319182.66800000047,0.0,258860.338,47885.346,99644.19,4047368.387,2663.478,3747238.494999998,2395830.9,661445.102,410590.23700000055,2106285.5190000017,212202.01149999988,81751.57250000007,21585235.814000003,2021,8
2021-09,1396698.8830000001,118198.104,4890618.221,477087.20200000034,0.0,256964.19199999995,71402.214,113210.213,4943197.265,1429.314,3234274.816,1927916.611,447444.657,396278.0979999997,2166255.1979999994,179817.18450000012,68076.04849999993,20688868.221000005,2021,9
2021-10,1023215.4459999998,232112.394,4748364.457,527419.848,,233570.5650000001,46314.807,112484.255,4407056.37,1853.455,4359563.920999996,1777274.811,328182.894,433047.4939999996,2147907.1970000025,187508.0000000001,68765.9960000001,20634641.909999996,2021,10
2021-11,1199445.5320000001,202806.599,3562254.807,576437.5759999997,,203062.24300000005,30058.985,115109.023,6317636.788,1139.79,6421739.529,1347957.356,172426.246,434361.576,2173751.719000001,179260.82049999994,80249.83150000004,23017698.421,2021,11
2021-12,2536803.672000001,269908.819,3922833.452,719926.374,,215797.23800000004,29066.882,112916.219,5154143.508,1227.861,6910032.612999992,1023707.25,103956.001,436423.9070000004,2175103.5279999976,181223.1154999998,82210.4385,23875280.877999987,2021,12
2022-01,2085857.4509999997,215637.741,5048424.951,709963.2189999998,,210125.16499999995,34446.764,117429.802,5898394.445,1110.916,5414777.159999999,1569291.684,170978.835,428663.21800000063,2147921.6090000006,169946.92900000003,79365.29199999996,24302335.181000005,2022,1
2022-02,1174970.1700000009,285079.947,4771058.269,568629.5279999999,,185575.526,34328.002,102630.663,4671261.013,1482.045,4712962.772,1693011.465,208192.368,374913.00299999985,2119152.720999998,144546.71600000001,72930.81799999994,21120725.025999997,2022,2
2022-03,1775478.1440000006,273848.153,4766690.052,705226.1249999997,,207451.40499999985,38861.629,114410.944,3873334.98,2126.323,6528551.210000003,1455804.583,120568.374,423881.7379999996,2217421.993,183995.6055000001,82069.25049999998,22769720.509000007,2022,3
2022-04,1802751.588,336712.619,4414715.447,691004.6010000005,,205100.23899999997,34572.36,103636.366,3146865.903,1752.528,5655805.975000003,2582036.214,412777.61,430376.9690000004,1709641.2019999993,171926.1160000001,72848.57699999998,21772524.314000003,2022,4
2022-05,1923714.557000002,300017.69,4066355.361,527154.5580000001,,215844.38000000015,42307.777,86849.653,3713639.285,1917.174,4687840.198000003,3352974.12,621247.495,397336.7929999997,1870740.240999999,170585.17750000014,79964.14749999996,22058488.60700001,2022,5
2022-06,1192915.0080000006,271315.011,4459458.308,833036.3700000008,,224846.98999999996,47734.012,60625.901,6478943.796,2449.56,3811046.0389999943,3223717.662,534217.867,415880.2569999996,1467878.8810000008,155909.442,76946.93199999994,23256922.036,2022,6
2022-07,1045015.9280000008,216663.274,5073367.597,882232.4970000007,,242769.39899999983,79729.885,73212.087,8460442.205,3562.943,4566874.671999997,3391443.749,667235.596,409345.59499999986,1056410.1140000003,181020.45450000017,75732.52050000003,26425058.516000003,2022,7
2022-08,973565.2489999998,339437.288,5122046.93,819592.5339999993,,245672.7789999999,85532.472,102417.013,8082025.29,3517.675,4261724.164000003,3240414.313,619958.99,383456.3469999997,776246.5740000008,164797.21650000007,65488.15049999991,25285892.985,2022,8
2022-09,1154833.1410000017,304785.767,4847367.123,632066.7189999996,0.0,216066.75800000012,84422.616,110953.991,7704899.046,2075.095,4192568.413000001,2698499.156,437343.279,341441.0630000001,739201.6489999994,140017.96900000004,59668.63900000001,23666210.424000002,2022,9
2022-10,719585.0210000005,385629.677,4021338.375,380331.1270000001,0.0,202310.788,79275.334,118598.82,7066690.782,1350.072,5101234.296,2025695.111,166128.813,367411.8569999998,1094108.7929999994,155069.3110000001,71884.42100000003,21956642.598000005,2022,10
